tier,k_white,powerball_match,prob_per_ticket,payout
5W + PB,5,True,3.4222978130237033e-09,120000000.0
5W + noPB,5,False,8.555744532559259e-08,1000000.0
4W + PB,4,True,1.095135300167585e-06,50000.0
4W + noPB,4,False,2.737838250418963e-05,100.0
3W + PB,3,True,6.899352391055786e-05,100.0
3W + noPB,3,False,0.0017248380977639465,7.0
2W + PB,2,True,0.0014258661608181958,7.0
1W + PB,1,True,0.010872229476238744,4.0
0W + PB,0,True,0.026093350742972983,4.0
ANY PRIZE,,,0.040213840499251925,
JACKPOT,5,True,3.4222978130237033e-09,120000000.0
